RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11034916,NB2ESTO006-17SA,Materiais e Suas Propriedades B2-Noturno (Santo André),Critério de preenchimento de vagas,Materiais e Suas Propriedades,N,SA,2016
11035016,NAESTE016-17SA,Introdução aos Sistemas Elétricos de Potência A-Noturno (Santo André),Critério de preenchimento de vagas,Introdução aos Sistemas Elétricos de Potência,N,SA,2016
11035114,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11035114,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2014
11035114,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2014
11035114,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2014
11035212,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2012
11035215,NAESZA017-17SA,Lógica Programável A-Noturno (Santo André),Critério de preenchimento de vagas,Lógica Programável,N,SA,2015
11035215,NBESTA013-17SA,Fundamentos de Robótica B-Noturno (Santo André),Critério de preenchimento de vagas,Fundamentos de Robótica,N,SA,2015
11035313,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2013
11035313,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2013
11035314,NANHI5015-15SB,LIBRAS A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,LIBRAS,N,SB,2014
11035315,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11035315,NAESZA017-17SA,Lógica Programável A-Noturno (Santo André),Critério de preenchimento de vagas,Lógica Programável,N,SA,2015
11035316,NA2ESTO902-17SA,Engenharia Unificada I A2-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2016
11035316,NAESTS009-17SB,Materiais Compósitos e Aplicações Estruturais A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Materiais Compósitos e Aplicações Estruturais,N,SB,2016
11035316,NAESTS004-17SB,Desempenho de Aeronaves A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desempenho de Aeronaves,N,SB,2016
11035416,DAESTA002-17SA,Circuitos Elétricos I A-Matutino (Santo André),Critério de preenchimento de vagas,Circuitos Elétricos I,D,SA,2016
11035516,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2016
11035615,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2015
11035616,DANHI5015-15SA,LIBRAS A-Matutino (Santo André),Critério de preenchimento de vagas,LIBRAS,D,SA,2016
11035616,DA3BCJ0203-15SA,Fenômenos Eletromagnéticos A3-Matutino (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,D,SA,2016
11035715,NA1ESTO001-17SB,Circuitos Elétricos e Fotônica A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Circuitos Elétricos e Fotônica,N,SB,2015
11035716,DAESZM027-17SA,Materiais para Energia e Ambiente A-Matutino (Santo André),Critério de preenchimento de vagas,Materiais para Energia e Ambiente,D,SA,2016
11035816,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
11035816,DA1BIR0004-15SB,Bases Epistemológicas da Ciência Moderna A1-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Bases Epistemológicas da Ciência Moderna,D,SB,2016
11035913,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2013
11035915,NBBHO0102-15SB,Desenvolvimento e Sustentabilidade B-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento e Sustentabilidade,N,SB,2015
11035916,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
11035916,NANHT4056-15SA,Química Inorgânica Experimental A-Noturno (Santo André),Critério de preenchimento de vagas,Química Inorgânica Experimental,N,SA,2016
11035916,NANHT4005-15SA,Eletroanalítica e Técnicas de Separação A-Noturno (Santo André),Critério de preenchimento de vagas,Eletroanalítica e Técnicas de Separação,N,SA,2016
11036014,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11036014,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2014
11036014,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2014
11036014,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2014
11036015,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2015
11036015,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2015
11036116,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2016
11036116,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11036314,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2014
11036412,NA1MCTC001-15SB,Introdução à Filosofia da Mente A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Introdução à Filosofia da Mente,N,SB,2012
11036413,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2013
11036612,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2012
11036614,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2014
11036614,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2014
11036614,NB2ESTO902-17SA,Engenharia Unificada I B2-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2014
11036716,NA1BIR0603-15SA,"Ciência, Tecnologia e Sociedade A1-Noturno (Santo André)",Critério de preenchimento de vagas,"Ciência, Tecnologia e Sociedade",N,SA,2016
11036716,NA2BCJ0203-15SA,Fenômenos Eletromagnéticos A2-Noturno (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,N,SA,2016
11036910,DAESTS010-17SB,Técnicas de Análise Estrutural e Projeto A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Técnicas de Análise Estrutural e Projeto,D,SB,2010
11036914,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2014
11036914,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2014
11036915,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11036915,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2015
11036915,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2015
11036915,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2015
11036916,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2016
11037216,NAESTU025-17SA,Avaliação de Impactos Ambientais A-Noturno (Santo André),Critério de preenchimento de vagas,Avaliação de Impactos Ambientais,N,SA,2016
11037310,NAESTU038-17SA,Tratamento de Águas Urbanas Servidas A-Noturno (Santo André),Critério de preenchimento de vagas,Tratamento de Águas Urbanas Servidas,N,SA,2010
11037313,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2013
11037512,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2012
11037515,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2015
11037615,NAESTU025-17SA,Avaliação de Impactos Ambientais A-Noturno (Santo André),Critério de preenchimento de vagas,Avaliação de Impactos Ambientais,N,SA,2015
11037707,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2007
11037707,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2007
11037714,NANHI5015-15SB,LIBRAS A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,LIBRAS,N,SB,2014
11037813,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2013
11037813,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2013
11037916,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11038012,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2012
11038012,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2012
11038012,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2012
11038012,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2012
11038016,DB1ESTO012-17SA,Princípios de Administração B1-Matutino (Santo André),Critério de preenchimento de vagas,Princípios de Administração,D,SA,2016
11038113,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2013
11038113,NAESTG016-17SB,Qualidade em Sistemas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Qualidade em Sistemas,N,SB,2013
11038113,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2013
11038113,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2013
11038115,DBESTG020-17SB,Sistemas e Processos de Produção B-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas e Processos de Produção,D,SB,2015
11038115,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2015
11038211,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2011
11038211,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2011
11038211,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2011
11038211,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2011
11038216,DB1ESTA003-17SA,Sistemas de Controle I B1-Matutino (Santo André),Turma cancelada,Sistemas de Controle I,D,SA,2016
11038216,DAMCTA009-13SA,"Computadores, Ética e Sociedade A-Matutino (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",D,SA,2016
11038312,DAESTS010-17SB,Técnicas de Análise Estrutural e Projeto A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Técnicas de Análise Estrutural e Projeto,D,SB,2012
11038312,NAESTS013-17SB,Projeto de Elementos Estruturais de Aeronaves I A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Projeto de Elementos Estruturais de Aeronaves I,N,SB,2012
11038312,NAESTS006-17SB,"Laboratório de Guiagem, Navegação e Controle A-Noturno (São Bernardo do Campo)",Critério de preenchimento de vagas,"Laboratório de Guiagem, Navegação e Controle",N,SB,2012
11038414,DAESTE032-17SA,Engenharia Solar Térmica A-Matutino (Santo André),Turma cancelada,Engenharia Solar Térmica,D,SA,2014
11038415,NB2ESTO902-17SA,Engenharia Unificada I B2-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2015
11038512,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André),Critério de preenchimento de vagas,Inteligência Artificial,D,SA,2012
11038513,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2013
11038513,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2013
11038614,DB1BIQ0602-15SA,Estrutura e Dinâmica Social B1-Matutino (Santo André),Critério de preenchimento de vagas,Estrutura e Dinâmica Social,D,SA,2014
11038615,NAESTB021-17SB,Sensores Biomédicos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sensores Biomédicos,N,SB,2015
11038816,NANHT4056-15SA,Química Inorgânica Experimental A-Noturno (Santo André),Critério de preenchimento de vagas,Química Inorgânica Experimental,N,SA,2016
11038816,NANHT4005-15SA,Eletroanalítica e Técnicas de Separação A-Noturno (Santo André),Critério de preenchimento de vagas,Eletroanalítica e Técnicas de Separação,N,SA,2016
11039016,NAESZG018-17SB,Estratégias de Comunicação Organizacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,N,SB,2016
11039016,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2016
11039016,DAESZG017-17SB,Clima e Cultura Organizacional A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Clima e Cultura Organizacional,D,SB,2016
11039016,DAESTG014-17SB,Planejamento e Controle da Produção A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Planejamento e Controle da Produção,D,SB,2016
11039112,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2012
11039113,NA5MCTA018-13SA,Programação Orientada a Objetos A5-Noturno (Santo André),Critério de preenchimento de vagas,Programação Orientada a Objetos,N,SA,2013
11039312,NA2ESTO902-17SA,Engenharia Unificada I A2-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2012
11039312,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2012
11039312,NAESTS009-17SB,Materiais Compósitos e Aplicações Estruturais A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Materiais Compósitos e Aplicações Estruturais,N,SB,2012
11039413,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2013
11039413,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2013
11039416,NA3MCTA024-13SA,Sistemas Digitais A3-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Digitais,N,SA,2016
11039416,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2016
11039416,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2016
11039512,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2012
11039512,NBESTA011-17SA,Automação de Sistemas Industriais B-Noturno (Santo André),Turma cancelada,Automação de Sistemas Industriais,N,SA,2012
11039615,NAESZA017-17SA,Lógica Programável A-Noturno (Santo André),Critério de preenchimento de vagas,Lógica Programável,N,SA,2015
11039615,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11039715,DAESTA006-17SA,Fotônica A-Matutino (Santo André),Turma cancelada,Fotônica,D,SA,2015
11039715,DAESTO014-17SA,Termodinâmica Aplicada I A-Matutino (Santo André),Critério de preenchimento de vagas,Termodinâmica Aplicada I,D,SA,2015
11039715,DB1ESTO012-17SA,Princípios de Administração B1-Matutino (Santo André),Critério de preenchimento de vagas,Princípios de Administração,D,SA,2015
11039815,NBESTA017-17SA,Laboratório de Máquinas Elétricas B-Noturno (Santo André),Critério de preenchimento de vagas,Laboratório de Máquinas Elétricas,N,SA,2015
11039913,NAESTU025-17SA,Avaliação de Impactos Ambientais A-Noturno (Santo André),Critério de preenchimento de vagas,Avaliação de Impactos Ambientais,N,SA,2013
11039914,NA1MCTA016-13SA,Paradigmas de Programação A1-Noturno (Santo André),Critério de preenchimento de vagas,Paradigmas de Programação,N,SA,2014
11039914,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2014
11039914,NA2MCTA025-13SA,Sistemas Distribuídos A2-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Distribuídos,N,SA,2014
11039916,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
11039916,NAESTE037-17SA,Análise Econômica de Projetos Energéticos A-Noturno (Santo André),Critério de preenchimento de vagas,Análise Econômica de Projetos Energéticos,N,SA,2016
11040115,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2015
11040115,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2015
11040116,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2016
11040116,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2016
11040415,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11040416,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11040416,DAESZM027-17SA,Materiais para Energia e Ambiente A-Matutino (Santo André),Critério de preenchimento de vagas,Materiais para Energia e Ambiente,D,SA,2016
11040416,NDESTA017-17SA,Laboratório de Máquinas Elétricas D-Noturno (Santo André),Critério de preenchimento de vagas,Laboratório de Máquinas Elétricas,N,SA,2016
11040416,NBESTA004-17SA,Circuitos Elétricos II B-Noturno (Santo André),Critério de preenchimento de vagas,Circuitos Elétricos II,N,SA,2016
11040515,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2015
11040515,NAESTG016-17SB,Qualidade em Sistemas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Qualidade em Sistemas,N,SB,2015
11040515,NA2ESTG021-17SB,Sistemas CAD/CAE A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2015
11040516,DBNHZ5019-15SA,Tecnologias da Informação e Comunicação na Educação B-Matutino (Santo André),Critério de preenchimento de vagas,Tecnologias da Informação e Comunicação na Educação,D,SA,2016
11040516,NAMCZA017-13SA,Processamento de Linguagem Natural A-Noturno (Santo André),Critério de preenchimento de vagas,Processamento de Linguagem Natural,N,SA,2016
11040715,NANHI5015-15SB,LIBRAS A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,LIBRAS,N,SB,2015
11040716,DAESTG025-17SB,Propriedade Intelectual A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Propriedade Intelectual,D,SB,2016
11040716,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2016
11040813,DAESTS010-17SB,Técnicas de Análise Estrutural e Projeto A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Técnicas de Análise Estrutural e Projeto,D,SB,2013
11040816,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
11040913,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2013
11040915,NAESTU032-17SA,Representação Gráfica de Projetos Ambientais e Urbanos A-Noturno (Santo André),Critério de preenchimento de vagas,Representação Gráfica de Projetos Ambientais e Urbanos,N,SA,2015
11040916,NA2ESTO001-17SB,Circuitos Elétricos e Fotônica A2-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Circuitos Elétricos e Fotônica,N,SB,2016
11040916,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2016
11041016,NAESTU025-17SA,Avaliação de Impactos Ambientais A-Noturno (Santo André),Critério de preenchimento de vagas,Avaliação de Impactos Ambientais,N,SA,2016
11041114,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2014
11041114,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2014
11041114,NAESTG016-17SB,Qualidade em Sistemas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Qualidade em Sistemas,N,SB,2014
11041114,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2014
11041114,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11041116,NA3MCTA024-13SA,Sistemas Digitais A3-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Digitais,N,SA,2016
11041116,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2016
11041214,NAMCZA017-13SA,Processamento de Linguagem Natural A-Noturno (Santo André),Critério de preenchimento de vagas,Processamento de Linguagem Natural,N,SA,2014
11041215,NA1MCTA016-13SA,Paradigmas de Programação A1-Noturno (Santo André),Critério de preenchimento de vagas,Paradigmas de Programação,N,SA,2015
11041215,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2015
11041216,DAESZG018-17SB,Estratégias de Comunicação Organizacional A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,D,SB,2016
11041314,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2014
11041314,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2014
11041314,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11041314,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2014
11041314,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2014
11041316,DANHZ6001-18SA,Fundamentos da Biotecnologia A-Matutino (Santo André),Critério de preenchimento de vagas,Fundamentos da Biotecnologia,D,SA,2016
11041316,NANHZ1074-15SA,Astrobiologia A-Noturno (Santo André),Critério de preenchimento de vagas,Astrobiologia,N,SA,2016
11041416,NA2ESTO902-17SA,Engenharia Unificada I A2-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2016
11041511,NAESZU034-17SA,Ecologia do Ambiente Urbano A-Noturno (Santo André),Critério de preenchimento de vagas,Ecologia do Ambiente Urbano,N,SA,2011
11041615,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2015
11041715,DANHT1013-15SA,Bioquímica Funcional A-Matutino (Santo André),Critério de preenchimento de vagas,Bioquímica Funcional,D,SA,2015
11042011,NAESHT009-17SB,História da Cidade e do Urbanismo A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,História da Cidade e do Urbanismo,N,SB,2011
11042015,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11042211,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2011
11042215,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11042215,NA1ESTO006-17SA,Materiais e Suas Propriedades A1-Noturno (Santo André),Critério de preenchimento de vagas,Materiais e Suas Propriedades,N,SA,2015
11042216,DANHT1013-15SA,Bioquímica Funcional A-Matutino (Santo André),Critério de preenchimento de vagas,Bioquímica Funcional,D,SA,2016
11042216,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2016
