RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11001213,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2013
11001213,DAESZG031-17SB,Engenharia Humana A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Humana,D,SB,2013
11001213,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2013
11001315,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2015
11001415,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11001415,NS4BCJ0203-15SA,Fenômenos Eletromagnéticos S4-Noturno (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,N,SA,2015
11001416,DAESTS010-17SB,Técnicas de Análise Estrutural e Projeto A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Técnicas de Análise Estrutural e Projeto,D,SB,2016
11001614,NAESTB021-17SB,Sensores Biomédicos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sensores Biomédicos,N,SB,2014
11001616,DA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Matutino (Santo André),Critério de preenchimento de vagas,Bases Epistemológicas da Ciência Moderna,D,SA,2016
11001811,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2011
11001813,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2013
11001815,NA5MCTA018-13SA,Programação Orientada a Objetos A5-Noturno (Santo André),Critério de preenchimento de vagas,Programação Orientada a Objetos,N,SA,2015
11001910,NAESZI037-17SA,"Aplicações em Voz, Áudio e Acústica A-Noturno (Santo André)",Turma cancelada,"Aplicações em Voz, Áudio e Acústica",N,SA,2010
11001910,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André),Critério de preenchimento de vagas,Inteligência Artificial,D,SA,2010
11002012,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2012
11002114,DANHZ2093-16SB,"Corpo, sexualidade e questões de gênero A-Matutino (São Bernardo do Campo)",Turma cancelada,"Corpo, sexualidade e questões de gênero",D,SB,2014
11002215,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2015
